Rank,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
232,Castlevania 7343,WiiU,1992,Simulation,Bandai,2.03,1.54,0.23,0.12,3.92
233,Final Fantasy 3082,SAT,2001,Fighting,Bandai,1.92,1.7,0.09,0.2,3.91
234,Crash Bandicoot 11534,3DS,1996,Role-Playing,LucasArts,2.67,0.59,0.36,0.29,3.91
235,Spyro 5506,PS3,1982,Strategy,Microsoft Game Studios,3.25,0.21,0.21,0.24,3.91
236,Metroid 13013,N64,1991,Racing,Sega,0.8,1.93,0.8,0.38,3.91
237,Tomb Raider 3488,DC,2013,Adventure,LucasArts,3.11,0.03,0.4,0.37,3.91
238,Kirby 10061,GC,2006,Misc,Bandai,3.12,0.43,0.12,0.23,3.9
239,Mega Man 1679,PS2,2010,Puzzle,Take-Two Interactive,2.36,1.11,0.41,0.02,3.9
240,Castlevania 2502,XB,2009,Role-Playing,Nintendo,2.65,1.11,0.14,0.0,3.9
241,Tekken 4719,NES,1980,Racing,Sony Computer Entertainment,3.61,0.05,0.17,0.06,3.89
242,Castlevania 12229,PC,2016,Racing,Bandai,1.38,2.05,0.39,0.07,3.89
243,Pro Evolution Soccer 14840,PS2,2010,Role-Playing,Namco Bandai,2.97,0.55,0.1,0.27,3.89
244,NBA 9607,DS,2000,Misc,2K Games,2.74,0.16,0.67,0.32,3.89
245,Tiger Woods PGA Tour 12509,DS,1986,Sports,Capcom,0.86,2.39,0.53,0.11,3.89
246,Crash Bandicoot 9945,PC,1983,Sports,Microsoft Game Studios,2.02,0.89,0.68,0.28,3.87
247,Donkey Kong 14325,XOne,1983,Fighting,Bethesda,3.13,0.11,0.14,0.49,3.87
248,Dragon Quest 4643,3DS,2000,Strategy,Deep Silver,1.44,0.8,1.54,0.09,3.87
249,Sonic the Hedgehog 15766,DS,1998,Action,Sony Computer Entertainment,2.16,1.35,0.12,0.24,3.87
250,Spyro 2937,PS2,1988,Role-Playing,Bandai,2.26,1.19,0.03,0.38,3.86
251,Tiger Woods PGA Tour 4389,DC,1980,Racing,Sony Computer Entertainment,1.24,0.82,1.75,0.05,3.86
252,Crash Bandicoot 4381,DC,1987,Misc,Atari,0.79,2.8,0.22,0.04,3.85
253,Pro Evolution Soccer 9251,NES,2016,Action,Atari,0.34,2.08,1.05,0.38,3.85
254,Mortal Kombat 2893,GBA,2009,Strategy,Activision,1.96,1.71,0.06,0.12,3.85
255,Kirby 2234,GC,1998,Shooter,Atari,2.12,0.16,1.38,0.18,3.84
256,Final Fantasy 480,PC,1987,Action,Bandai,2.85,0.15,0.79,0.05,3.84
257,Silent Hill 7066,DS,1986,Racing,Microsoft Game Studios,2.29,0.64,0.88,0.02,3.83
258,Metal Gear Solid 15890,PC,2003,Strategy,Atari,2.94,0.32,0.01,0.56,3.83
259,Castlevania 1652,X360,2010,Racing,Konami,0.83,2.63,0.29,0.08,3.83
260,Castlevania 7981,PS2,1992,Simulation,Take-Two Interactive,1.02,1.46,1.24,0.11,3.83
261,Madden NFL 12672,GBA,2005,Simulation,Activision,2.88,0.27,0.62,0.06,3.83
262,Dead or Alive 12803,N64,2005,Racing,Capcom,2.48,0.03,1.08,0.23,3.82
263,Star Fox 13636,XB,2007,Action,2K Games,2.74,0.42,0.13,0.53,3.82
264,Pro Evolution Soccer 4303,3DS,1988,Strategy,Activision,2.64,0.83,0.01,0.34,3.82
265,F-Zero 13928,DC,1999,Strategy,Take-Two Interactive,2.89,0.42,0.38,0.13,3.82
266,NBA 12560,PS3,1988,Fighting,505 Games,0.76,0.48,2.4,0.18,3.82
267,Metal Gear Solid 11433,Wii,1995,Simulation,Deep Silver,2.05,0.74,0.58,0.44,3.81
268,Kirby 4486,GBA,2015,Role-Playing,Bandai,1.28,1.23,1.28,0.02,3.81
269,Donkey Kong 13248,PSP,2004,Platform,Microsoft Game Studios,0.4,1.97,1.25,0.18,3.8
270,Dragon Quest 12318,XOne,2011,Puzzle,Atari,1.87,0.59,0.63,0.71,3.8
271,Spyro 9775,SNES,2005,Action,Electronic Arts,1.82,1.04,0.63,0.31,3.8
272,Spyro 1083,N64,2010,Platform,Capcom,0.74,2.77,0.13,0.16,3.8
273,Castlevania 5575,GBA,2011,Simulation,Activision,0.93,2.26,0.55,0.05,3.79
274,Final Fantasy 15632,SAT,1995,Adventure,505 Games,2.64,0.45,0.04,0.66,3.79
275,Crash Bandicoot 5273,PC,2003,Sports,Square Enix,2.57,0.29,0.87,0.06,3.79
276,Tiger Woods PGA Tour 1798,GC,2003,Racing,Namco Bandai,3.28,0.33,0.06,0.12,3.79
277,Crash Bandicoot 7460,WiiU,1995,Sports,Bethesda,2.35,0.96,0.45,0.03,3.79
278,NCAA Football 7190,PC,2004,Puzzle,Square Enix,2.43,0.27,0.89,0.19,3.78
